 Name_of_Dr , Dr_Exp, Specialisation , Address , Fee , Services 
Dr. Dilip Patel,37,"['Orthodontist', 'Dentist']","['#210, City Shops, Dr Yagnik Rd, Landmark: Opposite Jagnath Police Station., Rajkot']",['₹200'],"['Artificial Teeth', 'Impaction / Impacted Tooth Extraction', 'Presurgical Orthodontics', 'Crowns and Bridges Fixing']"
Dr. Preeti G Odedra,13,['Dentist'],"['Navjyot Park, 150 Feet Ring Road, Giriraj Hospital Street, Kalavad Road., Landmark: Near Giriraj Hospital., Rajkot']",['₹150'],"['Root Canal Treatment & Rotary RCT', 'Post & Cove', 'Smile Design', 'Tooth Coloured Fillings', 'Immidiate Denture', 'Pulpectomy', 'Laminates', 'Invisible/Clear Braces', 'Crowns like zirconia, lava etc', 'Gap Closing', 'Tooth tattoo', 'Dental Implant Placement', 'dental jewellery', ' Tooth Extraction', 'Dental Braces Fixing']"
Dr. Brijesh Rathod,11,"['Dentist', 'Dental Surgeon', 'Cosmetic/Aesthetic Dentist']","['#4, Golden Point Complex, Nana Mava Main Road, Near Satyam Party Plot., Landmark: Opposite To SBI Bank., Rajkot']",['₹100'],"['Gum Disease Treatment/ Surgery', 'Cosmetic/ Aesthetic Dentistry', ' Tooth Extraction', 'Laminates', 'RCT - Root Canal Treatment', 'Crowns and Bridges Fixing', 'Cast Partial Denture', 'Dental Implant Fixing', 'Teeth Whitening', 'Veneers / Laminates', 'Fixed Partial Denture (FPD)', 'Post and Core', 'Immediate Dentures', 'Smile Design', 'Complete/Partial Dentures Fixing']"
Dr. Maitrey G  Bhalodia,9,['Oral And MaxilloFacial Surgeon'],"['Purusharth, 1st Floor, Hanuman Madhi Chowk, Shivpara, Raiya Road., Landmark: Near Hanuman Temple., Rajkot']",['₹200'],"['Impaction / Impacted Tooth Extraction', 'Dental Implant Fixing', 'Jaw Reshaping', 'Jaw Fracture', 'Maxillo Facial Prosthodontics', 'Oral & Maxillofacial Surgery', 'Mucogingival Surgery', 'Smile Design', 'Orthognathic Surgery', 'Cleft Lip and Palat', 'Maxillofacial Infections']"
Dr. Nirav Kotak,9,"['Dentist', 'Implantologist', 'Cosmetic/Aesthetic Dentist']","['Maruti Chowk, Satya Sai Hospital Road, Kalavad Road., Landmark: Behind Big Bazaar., Rajkot']",['₹50'],"['Crowns and Bridges Fixing', 'BPS Dentures Fixing', 'Cosmetic/ Aesthetic Dentistry', 'Complete/Partial Dentures Fixing', ' Tooth Extraction', 'Dental Implant Fixing', 'RCT - Root Canal Treatment']"
Dr. Devanshu P Poshi,84,"['Dental Surgeon', 'Dentist']","['# Ramkrishna Nagar Main Road Landmark: Opposite Punjab National Bank, Rajkot']",['₹100'],"['Crowns and Bridges Fixing', 'Dental Fillings', 'Artificial Teeth', 'Acrylic Partial Denture', ' Tooth Extraction', 'Gum Disease Treatment/ Surgery']"
Dr. Major Ram Krishna,12,"['Oral And MaxilloFacial Surgeon', 'Implantologist', 'Dental Surgeon']","['132-137, 1st Floor, Jasal Complex, 150 Feet Ring Road, Landmark: Opposite Sterling Hospital, Rajkot']",['₹300'],"['Facial Trauma', 'Facial Aesthetic Surgery', 'Facial Plastic Surgery', 'Maxillo Facial Treatment', 'Facial Cosmetic Surgery', 'Facial aesthetics', 'Wisdom Tooth Extraction', 'Jaw Reshaping', 'TMJ Pain Management', 'TMJ Therapy', 'JAW ADVANCEMENT SURGERY', 'SINUS LIFT SURGERY FOR IMPLANTS', 'DISTRACTION OSTEOGENESIS OF JAWS', 'RIDGE SPLIT & EXPANSION FOR IMPLANT PLACEMENT', 'BONE GRAFTING FOR IMPLANT PLACEMENT']"
Dr. Tapan Shah,14,['Dentist'],"['Near Hemu Gadhavi Hall, Astron Chawk, Tagore Road, New Jagnath Plot., Landmark: Beside Bank Of Baroda., Rajkot']",[],"['Impaction / Impacted Tooth Extraction', 'Dental Implant Fixing', 'Crowns and Bridges Fixing', 'Artificial Teeth']"
Dr. Hardik V Shingala,3,"['Oral And MaxilloFacial Surgeon', 'Implantologist']","['Chandresh Nagar Main Road, Opposite Backbone Shopping Center, Near Mayani Chowk,Rajkot, Rajkot']",['₹200'],[]
Dr. Nayan Javiya,13,['Dentist'],"['Municipal Shopping Center, Krishna Nagar Main Road., Landmark: Near Guruprashad Chawk., Rajkot']",['₹100'],"['Scaling / Polishing', 'Tooth Coloured Fillings', 'Dental Fillings', 'Laser Gum Surgery', 'Laser Gingivoplasty', 'Cosmetic/ Aesthetic Dentistry', 'Conservative Dentistry', 'Laser Dentistry', 'Crowns and Bridges Fixing', 'Cast Partial Denture', ' Tooth Extraction', 'Complete/Partial Dentures Fixing', 'Laser Surgery', 'Flap Surgery']"
Dr. Radhika Ajmera,8,"['Cosmetic/Aesthetic Dentist', 'Dental Surgeon']","['# 22/25, ""SAMRAT""., Landmark: Opposite PGVCL, Rajkot']",['₹500'],"['Impaction / Impacted Tooth Extraction', 'Cast Partial Denture', 'Cosmetic/ Aesthetic Dentistry', 'Complete/Partial Dentures Fixing', 'Dental Fillings', 'Flexible Partial/Complete Denture', 'Dental Implant Fixing', 'Post and Core', 'RCT - Root Canal Treatment', 'Crowns and Bridges Fixing']"
Dr. Pratik Ajmera,8,"['Dental Surgeon', 'Dentist']","['3rd Floor, Samarpan Building, Atithi Chowk., Landmark: Opposite Chandresh Wadi, Rajkot']",['₹100'],"['Dental Fillings', 'Zirconia Crowns', 'Dental Implant Fixing', 'Bone Grafting for Dental Implants', 'General  Dentistry', 'RCT - Single Sitting', 'Scaling / Polishing']"
Dr. Miloni A Lakhani,11,['Pediatric Dentist'],"['Holiday Shops Building,25 Jagnath Main Road, Landmark: Opposite Landmark Hospital, Rajkot']",['₹200'],"['Dental Examinations', 'Dental Checkup (General)', 'Dental prophylaxis', 'Scaling / Polishing', 'Orthodontic Treatment', 'Pulpectomy', 'crowns', 'Space Maintainers', 'Traumatic injuries Dental', 'Dental Restoration', 'Flouride', ' Tooth Extraction', 'Radiographic examinations', 'Fluoride Application']"
Dr. Pankaj,6,['Public Health Dentist'],"['Vraj Palace, Shop No. 124 ,Kailash Park Main Road, Landmark: OPP-Palav School OFF to 150ft Ring Road, Rajkot']",['₹100'],"['Preparation for Dentures', 'Scaling / Polishing', 'Restoration Aesthetics', 'Dental Examinations']"
Dr. Hardik Ajmera,10,"['Dentist', 'Orthodontist', 'Dental Surgeon']","['# 22/25, ""SAMRAT""., Landmark: Opposite PGVCL, Rajkot']",['₹500'],"['Artificial Teeth', 'Acrylic Partial Denture', 'Dentofacial Orthopedics', 'Orthognathic Surgery', 'Smile Design', 'Cosmetic/ Aesthetic Dentistry', 'Dental Implant Fixing', 'Presurgical Orthodontics', 'Impaction / Impacted Tooth Extraction', 'Prosthetics']"
Dr. Chirag Bhalodia,11,"['Orthodontist', 'Dentist', 'Dental Surgeon', 'Dentofacial Orthopedist', 'Cosmetic/Aesthetic Dentist']","['#1st Floor, Business Bay, Royal Park, Street No. 6., Landmark: Opposite Krishna Medicines., Rajkot']",['₹150'],"['Flap Surgery', ' Tooth Extraction', 'Complete/Partial Dentures Fixing', 'Crowns and Bridges Fixing', 'Orthodontic Treatment', 'Space Maintainers', 'Scaling / Polishing', 'Bleeding Gums Treatment', 'Myofunctional Orthodontics', 'Cosmetic/ Aesthetic Dentistry', 'Wisdom Tooth Extraction', 'Dental Fillings', 'Dental Braces Fixing', 'Dental Implant Fixing', 'Smile Design']"
Dr. Aum B Joshi,8,['Dentist'],"['SHREE RAM COMPLEX, 1ST FLOOR, OPP NAKSHATRA - 7, RAIYA ROAD, RAJKOT, Landmark: BAPA SITARAM CHOWK RAIYA ROAD, Rajkot']",['₹150'],"['Dental Examinations', 'Surgical Tooth Extraction', 'Traumatic injuries Dental', 'Dental Checkup (General)', 'Dentofacial Orthopedics', 'Orthodontic Treatment', 'Dental prophylaxis', 'Dental Restoration', 'Sedation Dentistry']"
Dr. Dilip Vekariya,12,['Dentist'],"['1st Floor, Times Square, Opposite Hari Darshan Arcade, Balaji Hall Chowk, 150 Feet Ring Road., Rajkot']",['₹50'],[]
Dr. Dhaval Patel,21,"['Dental Surgeon', 'Implantologist']","['Dr Dhaval Patel 2, Lifeline Hospital, Opp. Milestone Hospital, Vidhyanagar Main Road, Rajkot, Gujarat 360001., Rajkot']",['₹150'],"['Cosmetic/ Aesthetic Dentistry', 'Complete/Partial Dentures Fixing', 'Dental Implant Fixing', 'Crowns and Bridges Fixing', 'Impaction / Impacted Tooth Extraction', 'Flap Surgery', 'Teeth Whitening', 'Dental Braces Fixing', 'Smile Design']"
Dr. Ashish Makwana,10,"['Dental Surgeon', 'Dentist', 'Cosmetic/Aesthetic Dentist', 'Implantologist']","['#32-33, First Floor, Ambikanagar Complex Corner, Raiya Circle., Landmark: Near 150 Ring Road., Rajkot']",['₹100'],"['Crowns and Bridges Fixing', 'Conservative Dentistry', 'Impaction / Impacted Tooth Extraction', 'Complete/Partial Dentures Fixing', ' Tooth Extraction', 'Flap Surgery', 'Dental Implant Fixing', 'Oral Cancer Treatment', 'Biopsy', 'Scaling / Polishing', 'Cosmetic/ Aesthetic Dentistry', 'Dental Fillings', 'Fixed Partial Denture (FPD)']"
Dr. Prashant Parekh,6,"['Dental Surgeon', 'Dentist']","['Mota Mava, Kalawad Road, Near Rangoli Complex., Landmark: Below HDFC Bank., Rajkot']",['₹50'],"['Surgical Tooth Extraction', 'Oral & Maxillofacial Surgery', 'Dental Restoration', 'Scaling / Polishing', 'Crowns and Bridges Fixing', 'Dental Checkup (General)', ' Tooth Extraction', 'Ceramic Crowns and Bridges Fixing']"
Dr. Rathin Bhindi,5,['Dental Surgeon'],"['Karansinhji Main Road, Opposite 30 Karanpara, Landmark: Near SBI Bank, Rajkot']",['₹100'],[]
Dr. Chirag Bhalu,12,['Prosthodontist'],"['1st Floor, Nana Mava Main Road, Landmark: Opposite SBI., Rajkot']",['₹100'],[]
Dr. Haren Kundnani,10,"['Dentist', 'Cosmetic/Aesthetic Dentist']","['15th Junction Plot, Karmabhoomi complex, Rajkot., Landmark: Near Gayatri Dairy., Rajkot']",['₹50'],"['Cosmetic/ Aesthetic Dentistry', 'Orthodontic Treatment', 'Smile Design', 'Crowns and Bridges Fixing', 'Teeth - Jewellery', 'Dental Implant Fixing', 'Periodontal Flap Surgery', 'Scaling / Polishing', 'Impaction / Impacted Tooth Extraction', 'Complete/Partial Dentures Fixing', 'Flexible Partial/Complete Denture', 'Oral & Maxillofacial Surgery', 'RCT - Root Canal Treatment', 'Metal Braces Fixing', 'Invisible/Clear Braces']"
Dr. Paresh K Charola,9,['Dentist'],"['Raghuvir Hospital, Mavdi Plot main Road, Rajkot, Landmark: Anand Bangla Chawk., Rajkot']",['₹100'],"['Complete/Partial Dentures Fixing', ' Tooth Extraction', 'Dental Braces Fixing', 'Scaling / Polishing', 'Artificial Teeth']"
Dr. Parth Patel,6,['Dentist'],"['1st Floor, Juna Jakat Naka Pase, Sant Kabir Main Road., Landmark: Beside Welcome Pharmacy., Rajkot']",['₹50'],"['Root canal therapy, comprehensive', 'Scaling of tooth', 'Extraction of single tooth', 'Simple removal of tooth', 'Surgical removal of tooth', 'Root Canal Treatment without post RCF filling', 'Root Canal Treatment Repeat without post RCF filling', 'Minor oral surgeries', 'Veneers / Laminates', 'Light Cure Composite Filling', 'Silver Filling', 'Periapical Surgery', 'Paediatric Extraction', 'Removal Partial Denture (RPD)', 'Complete Denture']"
Dr. Neeldeep Bhimani,5,['Dentist'],"['# 101-102, Kasturi Complex, Kewdawadi Main Road, Landmark: Opposite Anamika Matching Center, Rajkot-360002, Rajkot']",['₹100'],"['Complete/Partial Dentures Fixing', 'Full Denture (Acrylic)', 'Teeth Reshaping', ' Tooth Extraction', 'Teeth Whitening', 'Scaling / Polishing']"
Dr. Sunil Ramanuj,8,['Dentist'],"['1st Floor,Shri Ram Complex, Railnagar Main Road., Landmark: Behind Popatpara, Rajkot']",['₹50'],"['Scaling / Polishing', 'Dental Fillings', ' Tooth Extraction', 'Third Molar Extractions', 'BPS Dentures Fixing', 'Crowns and Bridges Fixing', 'Impaction / Impacted Tooth Extraction', 'Dental Implant Fixing']"
Dr. Hiren M. Thummar,14,['Dentist'],"['#105, Shubh Corner, Mavdi Fire Station, Chandresh Nagar Main Road, Landmark: Near SBI Bank., Rajkot']",['₹100'],"['Scaling / Polishing', 'Artificial Teeth', ' Tooth Extraction', 'Impaction / Impacted Tooth Extraction']"
Dr. Ashish Shah,7,['Dentist'],"['2nd Floor, Safal, Ramkrushna Nagar Main Road., Landmark: Above Ami Chag Art Gallery., Rajkot']",['₹100'],"['Scaling / Polishing', 'Artificial Teeth', ' Tooth Extraction', 'Crowns and Bridges Fixing']"
Dr. Bimal Vasani,24,['Dentist'],"['#2, Vaishalinagar Corner, Ajay Complex, Shop No. 2, Ground Floor, Raiya Road., Rajkot']",['₹100'],[]
Dr. Devendra N Kalaria,21,"['Dental Surgeon', 'Dentist']","['# 2nd Floor, Ekta Complex, Vidhya Nagar Main Road., Landmark: Opposite To Olympse Hospital, Rajkot']",['₹100'],"['Artificial Teeth', 'Smile Design', 'Dental Fillings', 'Complete/Partial Dentures Fixing', 'Crowns and Bridges Fixing', 'Cosmetic/ Aesthetic Dentistry', 'Dental Implant Fixing', ' Tooth Extraction', 'Acrylic Partial Denture']"
Dr. Aadit Dave,5,['Dentist'],['Rajkot'],['₹150'],"['Frenectomy', 'Dental Implant Fixing', 'Incision & Drainage of Oral Abscess']"
Dr. Naisargee,11,['Dentist'],"['Astron Chowk, Sardar Nagar Main Road, Rajkot, Landmark: Opp. Jankalyan Apartment., Rajkot']",['₹100'],"['Crowns and Bridges Fixing', 'Artificial Teeth', 'Dental Fillings', ' Tooth Extraction', 'Dental Implant Fixing', 'Acrylic Partial Denture']"
Dr. Niraj Motwani,15,['Dentist'],"['3rd Floor, Siddharth-6, 150 Feet Ring Road, Ramapir Chowk., Landmark: Near Sterling Hospital, Rajkot']",['₹100'],"['Braces Adjustment', 'Smile Design', 'Traumatic injuries Dental', 'Scaling / Polishing']"
Dr. Tushar Vyas,19,['Dentist'],"['Master Society, Sheri Number 7/3 Cornet, 80 Feet Road, Near Sorathiyawadi Circle, Rajkot, Rajkot']",['₹50'],"['Artificial Teeth', 'Crowns and Bridges Fixing', 'BPS Dentures Fixing', 'Impaction / Impacted Tooth Extraction']"
Dr. Khushboo Motwani,14,['Dentist'],"[""Pavan Complex, First Floor, Above Dr. Bhatt's Saheb Clinic,, Landmark: Opposite Water Tank, Rajkot""]",['₹100'],"['Scaling / Polishing', 'Traumatic injuries Dental', 'Smile Design', 'Braces Adjustment']"
Dr. Laxmidhar,22,['Dentist'],"['#202, Pick Point, Dr. Yagnik Road, Landmark: Opposite Swami Vivekanand Statue., Rajkot']",['₹150'],"['Artificial Teeth', 'Impaction / Impacted Tooth Extraction']"
Dr. Pooja Shah,7,"['Dentist', 'Orthodontist']","['2nd Floor, Safal, Ramkrushna Nagar Main Road., Landmark: Above Ami Chag Art Gallery., Rajkot']",['₹100'],"['Impaction / Impacted Tooth Extraction', 'Artificial Teeth', 'Scaling / Polishing', 'Acrylic Partial Denture', 'Crowns and Bridges Fixing', ' Tooth Extraction']"
Dr. Mohit B Pambhar,9,['Dentist'],"['#2nd Floor, Luxurious Complex ,150 Feet Ring Road., Landmark: Near Mavdi Chawk., Rajkot']",['₹50'],"['Artificial Teeth', 'Crowns and Bridges Fixing', 'Teeth Whitening', 'Complete/Partial Dentures Fixing', 'Dental Fillings', 'Full Denture (Acrylic)']"
Dr. Jignesh Kagathara,17,['Dentist'],"['#101-B, Arihant Plaza., Landmark: Near Moti Tanki Chowk., Rajkot']",['₹100'],"['Crowns and Bridges Fixing', 'Impaction / Impacted Tooth Extraction', 'Artificial Teeth', 'BPS Dentures Fixing', 'Complete/Partial Dentures Fixing']"
Dr. Bharat Kalariya,19,['Dentist'],"['#201, Krishna Complex-1, Nana Mava Main Road, Rajnagar Chowk, Rajkot, Landmark: Near Suryamukhi Hanumanji Temple., Rajkot']",['₹150'],[]
Dr. Dhaval Jitendrabhai Aghera,5,"['Orthodontist', 'Dentofacial Orthopedist', 'Dental Surgeon', 'Dentist']","['3rd Floor, Samarpan Building, Atithi Chowk., Landmark: Opposite Chandresh Wadi, Rajkot']",['₹200'],"['Presurgical Orthodontics', 'Presurgical Orthodontics', 'Orthodontic Treatment', 'Cleft Lip and Palate', 'Myofunctional Orthodontics', 'Invisible/Clear Braces', 'Presurgical Orthodontics', 'Dentofacial Orthopedics', 'Orthognathic Surgery', 'Palate Surgery', 'Jaw Orthopedics', 'Crowns and Bridges Fixing', 'Cleft Lip Repair']"
Dr. Anand Jasani,20,"['Dentist', 'Implantologist']","['1 St Floor, Riddhi Siddhi Complex, Ramkrushna Main Road, Virani Chowk, Vidya Nagar Main Road Corner, Landmark: Municipal Commisioner Bunglow Road., Rajkot']",['₹200'],"['Impaction / Impacted Tooth Extraction', 'Complete/Partial Dentures Fixing', 'Dental Implant Fixing', 'Endo Surgery Or Apicoectomy', 'Cosmetic/ Aesthetic Dentistry', 'Invisible/Clear Braces', 'Scaling / Polishing', 'Immediate Dentures', 'Flap Surgery', ' Tooth Extraction', 'Oral Surgery Procedures', 'Crowns and Bridges Fixing', 'Dental Fillings', 'Straightening Teeth (Invisalign) ', 'TMJ Pain Management']"
Dr. Bansari V Jivrajani,11,['Dentist'],"['# Moti Tanki Chawk, Opposite Gondal Nagrik Bank, Dr Radhakrishna Road, Rajkot']",['₹150'],"['Dental Braces Fixing', 'Scaling / Polishing', 'Teeth Reshaping', 'Teeth - Jewellery', 'Crowns and Bridges Fixing', 'Artificial Teeth', ' Tooth Extraction', 'Impaction / Impacted Tooth Extraction', 'Dental Fillings', 'Teeth Whitening', 'Dental Implant Fixing']"
Dr. Mayurgiri Goswami,15,['Dentist'],"['Vidhya Nagar Main Road, Virani Chawk, Landmark: Near Dr. Gadre Eye Clinic., Rajkot']",['₹100'],[]
Dr. Vipul Patel,14,"['Cosmetic/Aesthetic Dentist', 'Implantologist', 'Dentist']","['Gayatrinagar Main Road, Jalram Chowk, Landmark: Opposite SBI Bank, Rajkot']",['₹100'],"['BPS Dentures Fixing', 'Complete/Partial Dentures Fixing', 'Crowns and Bridges Fixing', 'Impaction / Impacted Tooth Extraction']"
Dr. Kinjal Patel,14,['Dentist'],"['Gayatrinagar Main Road, Jalram Chowk, Landmark: Opposite SBI Bank, Rajkot']",['₹100'],"['Crowns and Bridges Fixing', 'Impaction / Impacted Tooth Extraction', 'Complete/Partial Dentures Fixing', 'Artificial Teeth']"
Dr. Prakash D. Pitroda,11,['Dentist'],"['New Nehru Nagar, 80 Feet Road, Rajkot, Landmark: Opposite Milan Hall., Rajkot']",['₹50'],[]
Dr. Keyur Patel,13,['Dentist'],"['#303-B, 3rd Floor, Convention Centre, Ramkrishna Nagar Main Road, Off to Dr. Yagnik Road, Landmark: Near Kalyan Jewellers., Rajkot']",['₹100'],[]
Dr. Jalak Javiya,13,['Dentist'],"['Municipal Shopping Center, Krishna Nagar Main Road., Landmark: Near Guruprashad Chawk., Rajkot']",['₹100'],"['Crowns and Bridges Fixing', 'Laser Gum Surgery', 'Scaling / Polishing', 'Cast Partial Denture', 'Impaction / Impacted Tooth Extraction', 'Complete/Partial Dentures Fixing', 'Tooth Coloured Fillings', 'Laser Dentistry']"
Dr. Hiren Gondaliya,7,['Dentist'],"['#150 Ring Road, Mavdi Chowkdi., Rajkot']",['₹50'],[]
Dr. Ravi Mrug,21,['Dentist'],"['#2, Krish Kamp, University Road. Landmark: Near Kotecha Chawk, Rajkot']",['₹100'],"['Dental Fillings', 'Impaction / Impacted Tooth Extraction']"
Dr. Avani Mapara,29,['Dentist'],"['Krishna Complex, 1st Floor, 25 New Jagnath Plot., Landmark: Near Astron Chowk, Rajkot']",['₹150'],"['Scaling / Polishing', 'Dental Fillings', 'Crowns and Bridges Fixing', 'Artificial Teeth', 'Impaction / Impacted Tooth Extraction', ' Tooth Extraction']"
Dr. Deep Kotak,9,['Dentist'],"['Anandnagar Main Road, Opposite Nilkanth Cinema, Rajkot, Rajkot']",['₹50'],"['Crowns and Bridges Fixing', 'BPS Dentures Fixing', 'Impaction / Impacted Tooth Extraction', 'Artificial Teeth']"
Dr. Viren Sanghani,11,['Dentist'],"['Om Nagar Chowk,150 Feet Ring Road, Landmark: Near B.R.T.S Bus Stand., Rajkot']",['₹100'],[]
Dr. Niral Hingarajia,11,['Dentist'],"['#11,12,13, Shilpen Plaza, 1st Floor, Krishna Nagar Main Road., Landmark: Near Swaminarayan Chawk, Rajkot']",['₹100'],"['Braces Adjustment', 'Maxillofacial Prosthetics', 'Traumatic injuries Dental', 'Scraping Periodontal', 'Scaling / Polishing']"
Dr. Parimal Kansagra,5,"['Dentist', 'Oral And MaxilloFacial Surgeon']","['#1st Floor, Vasudev Complex, Nana Mava Main Road, Landmark: Opposite Shastri Nagar Main Gate., Rajkot']",['₹100'],[]
Dr. Kunal Manvar,9,['Orthodontist'],"['2nd Floor, Rajkamal, Nana Mauva Main Road, Landmark: Near SBI Bank, Rajkot']",['₹100'],"['Dental Checkup (General)', 'Dental', 'Dental Braces Fixing']"
Dr. Parth Solanki,6,['Dentist'],"['Goutham-2 Apartments, Shopping Centre, Pushkardan Society, Jamnagar Road, Landmark: Opposite Madhapar Bus Stop., Rajkot']",['₹50'],[]
Dr. Darshana Deshani,6,['Dentist'],"['Gundawadi Main Road, Landmark: Opposite Nageshvar Temple., Rajkot']",['₹50'],[]
Dr. Anish Kantesaria,23,"['Dentist', 'Implantologist']","['Shilpan Tower-B, First Floor, Sadhu Vasvani Road., Landmark: Near Sadhu Vasvan School, Rajkot']",['₹100'],"['Impaction / Impacted Tooth Extraction', 'Acrylic Partial Denture', 'Crowns and Bridges Fixing', 'Complete/Partial Dentures Fixing', 'Artificial Teeth']"
Dr. Jaydeep Ramani,8,"['Dentist', 'Cosmetic/Aesthetic Dentist']","['Sraddha Complex, Trishul Chowk, Landmark: Near Gayatri Nagar Main Road., Rajkot']",['₹100'],"['Impaction / Impacted Tooth Extraction', 'BPS Dentures Fixing', 'Crowns and Bridges Fixing']"
Dr. Tejas Trivedi,20,['Dentist'],"['Sparkle Complex, First Floor, Kotechanagar Main Road, Off Kalawad Road., Landmark: Near Kotecha Girls High School, Rajkot']",['₹100'],"['Acrylic Partial Denture', 'Impaction / Impacted Tooth Extraction', 'Crowns and Bridges Fixing', 'Dental Implant Fixing']"
Dr. Nirav Katbamna,9,['Dentist'],"['Gayatri Road, Rajkot']",['₹200'],[]
Dr. Jay Pandya,9,"['Dentist', 'Orthodontist']","['#1st Floor, Arya Complex, Kalavad Road, Landmark: Opposite Punjab Honda, Rajkot']",['₹150'],"['Smile Design', 'Laser Gingivoplasty', 'Scaling / Polishing', 'Traumatic injuries Dental', 'Braces Adjustment']"
